,train_end,S0,actual_terminal,sim_mean_terminal,sim_p05,sim_p95,percentile_rank_of_actual,inside_90pct_interval
GBM,2023-05-09 00:00:00,169.14999389648438,219.91000366210932,232.3692890134405,93.4742119429032,449.7684644369591,54.800000000000004,True
OU,2023-05-09 00:00:00,169.14999389648438,219.91000366210932,164.20596583101263,53.230421072027326,272.34482491475865,81.10000000000001,True
MJD,2023-05-09 00:00:00,169.14999389648438,219.91000366210932,231.62790011521216,92.74280626628126,453.2622044162343,54.900000000000006,True
